@odata.etag,ItemInternalId,Organiser,Event Name,Category of the Event,Date of the Event,Start Time,Open To,Collaborators,Event Status,Venue
,e974d12d-425b-47e1-89fa-86e3a9b9816e,AKU Athletics - Sports Society,Karachi Marathon,Sports,46026,06:00 AM,AKU students ,AKU Athletics - Sports Society;Sports Society,Approved,
,f8d67ac1-bfc5-4353-80c3-f3e97fcee017,Synergy (SONAM),Flash Mob Activity,Energizers and Dance and Singing Performances,46043,430PM,1st year to 4th year SONAM students,Synergy (SONAM),Approved,Rufayda Courtyard
,9c11e6d1-b576-42be-868c-56fb802d00f5,AKU Athletics - Sports Society,6th women's Power run ,Sports,46033,7:45 am ,Students ,None,Approved,
,2d159167-c67d-46f0-8a82-d2657a2cce14,Explorers Club ,Deep Dive,Recreational/Social,46060,7 AM,All of AKU ,None,Approved,
,4bf10382-1bed-4c8d-b97c-44254d7cfed5,Synergy (SONAM),city tour,Orientation,46053,0800,Year 1 students (0'29),None,Approved,
,e4acc99e-8f1f-43ce-8b3d-69ed96dd66fc,Synergy (MBBS),Synergy Ice Breaking 2026,Recreational/Social,46045,5:00 pm,MBBS all batches,None,Approved,
,e0845403-447d-4390-9ca4-9110bffd767d,AKU Athletics - Sports Society,Commissioner Run Karachi,Sports,46047,7AM ,All undergraduate programes. ,None;Office of Student Experience Pakistan (OSEP);Office of Student Experience - Global,Approved,
,22440a8c-20c1-4503-be7d-7d23e20e70a7,Student Research Forum (SRF) (MBBS),SRF ORIENTATION 2026,Orientation,46050,5:30,MBBS class of 2030,None,Approved,Lecture Hall 3
,93cd322e-21f2-47d4-a416-31d3d2439722,Sports Society,Football training ,Sports,46042,8:00,"Football team of MBBS batch of 2029 would like to request a booking of the futsal ground, for training time and space ",None,Approved,
,0a158a59-16ee-4dc0-9809-69fcdfbba415,Aurora,Mental Health: Music as a Therapeutic Tool,Workshop/Session,46042,5:00 pm,High school students,None,Approved,Lecture Hall 
,b80d6bbd-b7a6-40b5-bf2f-fb043d7c23ae,Publication and Literary Society (APLS) (MBBS),APLS Orientation,Orientation,46056,5pm,"MBBS, FAS, SONAM",None,Approved,
,243ad18b-b9df-4c39-876e-6c254cfb4282,Student Research Forum (SRF) (SONAM),Orientation,Orientation,46048,1pm,BScN students,None,Approved,
,2783ddec-3acd-4c1b-8d7f-0c146878a713,Student Research Forum (SRF) (MBBS),Med school unlocked  ,Workshop/Session,46051,5pm ,Students from batch of 2030 and 2029,None,Approved,Lecture Hall 1
,4750985d-f49c-4288-941d-f1efb3add4e7,Club for Theatrics (ACT),Society Orientation,Orientation,46059,5pm,"Students from Mc, FAs, and Sonam",None,Approved,
,d3310801-a24f-4f22-a270-9f8fdd833351,Society of Climate Conservation and Health (SoCCH),International Day of Clean Energy,Recreational/Social,46048,1:30,"All students, Faculty, Staff ",None,Approved,University Center Courtyard
,f0b8ce73-782d-4612-8bbf-e533b15667f8,Student Research Forum (SRF) (MBBS),From Squires to Knights,Workshop/Session,46057,5:30 p.m.,Year I MBBS students,None,Approved,Lecture Hall 2
,4b8514b1-6e21-43c1-9fe3-aa22318103c7,Sports Society,Sports Society Orientation ,Orientation,46049,5pm ,All students interested in the AKU Sports Society. ,None,Approved,Lecture Hall 2
,024e8ed5-4e6e-4e58-bfc6-5d1964af0b80,Synergy (SONAM),A Day out with Synergy,Recreational/Social,46054,0845AM Departure,1st year Students ( Batch of 0’29),None,Approved,
,537d8bc6-ec30-41bc-99f4-5219ba3c64b3,Society of Climate Conservation and Health (SoCCH),Mangrove Plantation Drive,Welfare,46067,2:00pm,Entire Student Body,None,Approved,
,01981f5f-2924-4516-96e9-1aa740717a04,Synergy (MBBS),Beach Trip,Recreational/Social,46061,12:00 PM,All batches of MBBS,None,Approved,
